# ----------------------------------------
# Landing page: Landing page
# Account: Harpar Grace International
# Property: Revitalash GA4 (LIVE)
# ----------------------------------------
# 
# All Users
# Start date: 20240330
# End date: 20250330
Landing page,Session default channel group,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/products/volumizing-hair-collection,Direct,199,166,141,26.44221105527638,8,1312.6,0.04020100502512563
/collections/all-products/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Direct,194,178,162,78.94329896907216,18,2213,0.09278350515463918
/pages/contact,Direct,193,146,108,19.94818652849741,0,0,0
/products/most-coveted-collection-brow,Direct,193,165,124,48.424870466321245,9,878.4,0.046632124352331605
/products/revitalash-advanced-sensitive,Referral,191,121,63,49.03664921465968,5,516.7,0.02617801047120419
/pages/curl-effect,Organic Search,188,139,90,40.069148936170215,2,367.27834,0.010638297872340425
/products/defining-liner-eyeliner,Organic Search,188,154,116,37.473404255319146,6,175,0.031914893617021274
/products/thickening-conditioner,Referral,187,160,156,23.390374331550802,5,229,0.026737967914438502
/revitalashr-advanced-2ml,Direct,183,182,181,1.6994535519125684,0,0,0
/products/volumizing-hair-collection,Organic Search,177,144,106,39.03954802259887,2,286.5,0.011299435028248588
/products/revitabrow-sample,Paid Shopping,176,166,153,65.1534090909091,6,656.6,0.03409090909090909
/products/best-of-lashes-kit,Paid Shopping,175,146,120,21.65714285714286,1,27,0.005714285714285714
/collections/all-products/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Search,171,98,5,20.584795321637426,3,374.1,0.017543859649122806
/products/brows-icons-collection,Paid Shopping,169,149,129,33.585798816568044,2,270,0.011834319526627219
/products/micellar-water-lash-wash-conditioning-eye-makeup-remover,Paid Shopping,168,134,121,25.25,5,158.4,0.02976190476190476
/tools/recurring/login,Direct,168,146,130,64.33928571428571,3,349.6,0.017857142857142856
/pages/reviews,Organic Search,167,145,122,106.2994011976048,0,0,0
/blogs/news/the-best-a-brow-can-get,Email,163,139,116,83.5521472392638,1,294,0.006134969325153374
/blogs/news/revitalashs-little-black-book-the-a-listers-who-swear-by-our-cult-lash-serum,Direct,162,150,150,16.98148148148148,0,0,0
/pages/faq,Direct,162,127,113,25.11111111111111,5,606.1,0.024691358024691357
/collections/tools,Direct,161,161,160,2.472049689440994,1,116.1,0.006211180124223602
/products/defining-liner-eyeliner,Direct,161,133,119,20.857142857142858,4,206.6,0.024844720496894408
/collections/thickening-shampoo-recommended,Organic Social,160,160,160,4.86875,0,0,0
/collections/all-products/products/signature-travel-kit-lash,Direct,158,95,65,37.70253164556962,9,1096.5,0.056962025316455694
/collections/cleanse-hydrate,Direct,158,157,156,24.044303797468356,1,179,0.006329113924050633
/account/login,Organic Search,156,128,89,28.916666666666668,4,377.383716,0.02564102564102564
/collections/best-selling-serums,Direct,155,150,147,21.8,0,0,0
/collections/lash,Referral,155,99,14,41.9741935483871,9,903.1,0.05161290322580645
/pages/contact,Organic Search,153,124,76,60.43790849673203,1,132.3,0.006535947712418301
/pages/shipping-and-returns,Direct,153,140,121,13.88888888888889,2,313.25,0.013071895424836602
/collections/serums,Unassigned,152,124,93,34.94736842105263,4,564,0.02631578947368421
/collections/makeup-tools-removers,Direct,150,150,150,0.3466666666666667,0,0,0
/collections/hair-collection,Email,148,133,106,92.97972972972973,16,2800,0.10810810810810811
/pages/brow-innovation,Direct,148,124,113,43.486486486486484,3,300.1,0.02027027027027027
/collections/hair,Organic Search,147,109,59,47.197278911564624,6,643,0.04081632653061224
/products/hi-def-brow-gel,Paid Search,145,117,91,57.5448275862069,10,622.8,0.06896551724137931
/products/revitabrow®-advanced-eyebrow-conditioner,Direct,142,131,125,46.16197183098591,6,628.1,0.04225352112676056
/products/thickening-shampoo,Referral,141,124,115,48.39716312056738,1,59,0.0070921985815602835
/pages/locator,Organic Search,140,119,97,51.542857142857144,2,235.92,0.014285714285714285
/pages/the-curl-effect,Organic Search,140,130,113,41.32857142857143,2,225.5,0.014285714285714285
/collections/all-products/products/revitalash-advanced-sensitive,Direct,139,87,68,30.223021582733814,4,517.8,0.02877697841726619
/collections/value-sets,Direct,139,138,138,0.05755395683453238,0,0,0
/77879836963/orders/4984006131c68b65899ee6b352256275,Direct,137,1,0,0,0,0,0
/collections/pink-collection,Direct,137,138,138,0.06569343065693431,0,0,0
/products/revitabrow®-advanced-eyebrow-serum,Paid Search,137,93,46,45.47445255474452,7,813,0.051094890510948905
/collections/all-revitalash-cosmetics-products,Organic Search,136,86,18,28.551470588235293,3,175.1,0.022058823529411766
/products/wash-go-set,Cross-network,136,124,113,32.55882352941177,5,295,0.03676470588235294
/collections/all-products/products/revitalash®-advanced-eyelash-conditioner-serum,Referral,135,121,102,30.4,0,0,0
/products/ultimate-eye-collection-revitalash®-advanced-summer-collection,Paid Shopping,135,114,85,80.38518518518518,7,699.2,0.05185185185185185
/collections/brow,Paid Search,133,79,3,34.962406015037594,6,534.3,0.045112781954887216
/pages/become-a-stockist,Organic Search,133,115,99,57.89473684210526,0,0,0
/products/thickening-shampoo,Paid Search,132,112,77,55.34090909090909,7,722.9,0.05303030303030303
/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Organic Search,131,108,77,70.36641221374046,9,1085.6,0.06870229007633588
(not set),Paid Social,130,106,0,3.1615384615384614,0,0,0
/products/best-of-lashes-kit,Organic Search,130,114,86,62.53846153846154,2,162.533537,0.015384615384615385
/collections/all-products,Paid Search,129,104,2,98.01550387596899,32,3483.7,0.24806201550387597
/collections/serums,Referral,129,74,10,21.868217054263567,2,158,0.015503875968992248
/account,Direct,128,92,61,71.0234375,8,1215.652251,0.0625
/products/best-of-lashes-kit,Direct,126,95,64,35.42857142857143,7,941.323882,0.05555555555555555
/products/double-ended-volume-set,Paid Search,122,91,36,31.549180327868854,7,626.3,0.05737704918032787
/products/lash-brow-set,Paid Social,121,116,103,28.84297520661157,6,890.95,0.04132231404958678
/products/lash-icons-collection-revitalash,Organic Search,120,107,67,56.458333333333336,4,367.4,0.03333333333333333
/products/double-ended-revitalash-advanced-revitabrow-advanced,Referral,116,104,87,47.64655172413793,2,283.5,0.017241379310344827
/collections/hair,Paid Search,115,63,2,43.38260869565217,6,451,0.05217391304347826
/pages/black-friday-2024-sign-up,Organic Search,114,97,70,75.03508771929825,4,539.1,0.03508771929824561
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Organic Search,114,62,26,32.05263157894737,4,370.430757,0.03508771929824561
/products/revitalashÂ®-advanced-eyelash-conditioner-serum,Organic Search,113,105,98,82.94690265486726,1,169.2,0.008849557522123894
/products/lash-and-brow-masque,Unassigned,112,104,79,74.75,5,843.5,0.044642857142857144
/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Social,112,102,100,15.75,2,169.2,0.017857142857142856
/products/micellar-water-lash-wash-conditioning-eye-makeup-remover,Organic Search,110,88,73,32.70909090909091,2,194.7,0.01818181818181818
/collections/best-sellers-hp,Organic Social,109,107,107,7.229357798165138,0,0,0
/blogs/lash/a-lash-serum-for-sensitive-eyes-finally-it-exists,Direct,108,91,77,77.57407407407408,5,599.6,0.046296296296296294
/products/revitabrow®-advanced-eyebrow-serum,Organic Social,108,105,104,17.88888888888889,0,0,0
/products/revitalash-advanced-eyelash-conditioner-serum,Paid Social,107,94,73,30.77570093457944,4,356.4,0.037383177570093455
/collections/best-sellers,Paid Search,106,70,4,53.37735849056604,4,492,0.02830188679245283
/products/defining-liner-eyeliner,Paid Video,106,82,69,0.5471698113207547,0,0,0
/products/brow-refresh-collection-spring-2025,Direct,105,92,81,31.447619047619046,5,517.5,0.047619047619047616
/products/most-coveted-collection-lash,Unassigned,105,94,62,61.06666666666667,7,1169.6,0.06666666666666667
/products/wash-go-set,Paid Search,105,77,45,24.133333333333333,4,348.1,0.0380952380952381
/products/hi-def-brow-gel,Unassigned,103,91,76,36.22330097087379,2,61.05,0.019417475728155338
/products/volumizing-hair-collection,Cross-network,103,97,80,25.932038834951456,0,0,0
/products/revitabrow-advanced-eyebrow-serum,Referral,102,64,12,35.27450980392157,7,748.6,0.06862745098039216
/collections/hi-def-brow-pencil-recommended,Organic Social,101,101,101,4.673267326732673,0,0,0
/pages/our-story,Organic Search,101,96,80,55.21782178217822,1,59,0.009900990099009901
/products/revitalash-advanced-sensitive,Cross-network,101,90,60,75.96039603960396,7,1034,0.06930693069306931
/products/signature-travel-kit-lash,Referral,101,65,15,22.693069306930692,2,188,0.019801980198019802
/search,Direct,98,73,46,108.8265306122449,9,1153.2,0.09183673469387756
/products/revitabrow®-advanced-eyebrow-serum,Email,97,84,62,81.04123711340206,12,1543,0.12371134020618557
/collections/thickening-conditioner-recommendation,Organic Social,94,94,94,4.297872340425532,0,0,0
/blogs/news/eyelash-extensions-vs-false-lashes-what-to-know,Organic Search,93,87,84,53.053763440860216,0,0,0
/products/lash-and-brow-masque,Paid Search,93,75,28,24.161290322580644,1,99,0.010752688172043012
/collections/gifting-collections,Direct,91,84,66,84.28571428571429,5,503.9,0.04395604395604396
/blogs/news/overplucked-brows-here-s-what-to-do,Unassigned,89,80,68,52.2247191011236,3,419,0.033707865168539325
/products/thickening-conditioner,Organic Search,89,82,60,43.82022471910113,7,521,0.07865168539325842
/pages/curl-effect,Paid Search,88,58,1,71.55681818181819,2,182.1,0.022727272727272728
/blogs/news/everything-you-need-to-know-about-your-lash-cycle,Organic Search,86,78,76,59.93023255813954,0,0,0
/collections/lash,Paid Shopping,86,63,18,82.11627906976744,5,589.8,0.05813953488372093
/products/most-coveted-collection-lash,Organic Search,86,71,22,42.27906976744186,2,238,0.023255813953488372
/blogs/lash/your-most-asked-questions-about-revitalash®-advanced-answered,Organic Search,85,76,58,61,1,139,0.011764705882352941
/products/hi-def-brow-pencil,Direct,84,62,50,15.154761904761905,5,240.5,0.05952380952380952
/products/revitalash®-advanced-eyelash-conditioner-serum,Organic Shopping,84,81,67,82.38095238095238,4,503.1,0.047619047619047616
/collections/all-products/products/revitalash-advanced-eyelash-conditioner,Direct,83,71,65,40.72289156626506,3,579.1,0.03614457831325301
/collections/hi-def-brow-gel-recommended,Organic Social,83,83,83,4.602409638554217,0,0,0
/pages/authorised-sellers,Direct,83,62,56,33.0722891566265,1,37,0.012048192771084338
/products/revitabrow-advanced-eyebrow-conditioner,Direct,83,72,67,21,2,198.809224,0.024096385542168676
/products/brows-icons-collection,Direct,81,68,54,66.0246913580247,6,783.45,0.07407407407407407
/,Paid Other,78,66,57,37.87179487179487,3,305.4,0.038461538461538464
/blogs/news,Direct,78,78,76,9.794871794871796,2,231.1,0.02564102564102564
/products/hi-def-brow-gel,Referral,78,68,54,64.35897435897436,0,0,0
/products/revitalash®️-advanced-eyelash-conditioner-serum,Direct,77,67,65,62.96103896103896,5,459.2,0.06493506493506493
/cart,Direct,76,64,46,89.82894736842105,15,2167.443761,0.19736842105263158
/products/revitalash®-advanced-sensitive-eyelash-conditioner,Referral,76,74,66,81.5,0,0,0
/products/volumizing-hair-collection,Paid Search,76,58,25,9.368421052631579,1,174,0.013157894736842105
/pages/eternally-pink,Direct,75,67,58,22.093333333333334,2,313,0.02666666666666667
/collections/best-sellers-hp,Paid Shopping,74,30,0,23.864864864864863,4,364.8,0.05405405405405406
/pages/christmas-competition-2024,Direct,74,69,65,81.27027027027027,2,281.7,0.02702702702702703
/products/limited-edition-of-revitabrow-advanced-3-5ml,Organic Search,73,57,29,87.3972602739726,11,1382.1,0.1506849315068493
/collections/all-products/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Paid Search,72,68,61,156.27777777777777,4,532.7,0.05555555555555555
/account/register,Organic Search,71,64,61,0.014084507042253521,0,0,0
/products/double-ended-volume-set,Referral,71,47,28,15.845070422535212,0,0,0
/products/double-ended-revitalash-advanced-revitabrow-advanced,Organic Search,70,49,16,92.51428571428572,7,976.7,0.1
/products/thickening-conditioner,Paid Search,70,63,55,11.128571428571428,2,176,0.02857142857142857
/products/signature-eyelash-curler,Cross-network,69,57,49,4,1,19,0.014492753623188406
/products/most-coveted-collection-lash,Paid Search,68,38,2,33.705882352941174,5,803.6,0.07352941176470588
/products/thickening-conditioner,Direct,68,58,46,59.19117647058823,1,132.3,0.014705882352941176
/pages/privacy-policy,Direct,67,67,66,7.164179104477612,0,0,0
/products/limited-edition-revitalash®-revitabrow®-heroes-collection,Paid Search,67,47,4,39.26865671641791,5,498.6,0.07462686567164178
/products/revitabrow-advanced-eyebrow-serum,Paid Social,67,59,49,21.388059701492537,4,594,0.05970149253731343
/products/volume-enhancing-foam,Referral,67,62,56,26.313432835820894,1,115,0.014925373134328358
/collections/all-products/products/revitabrow®-advanced-eyebrow-serum,Paid Search,66,36,1,14.742424242424242,2,153.5,0.030303030303030304
/collections/gifts,Referral,66,48,11,72.31818181818181,7,776.7,0.10606060606060606
/products/defining-liner-eyeliner,Paid Search,66,28,14,7.075757575757576,2,47.5,0.030303030303030304
/products/lash-recharge-collection,Direct,66,65,64,50.43939393939394,7,947.3,0.10606060606060606
/products/lash-refresh-collection-spring-2025,Organic Search,66,48,27,38.04545454545455,1,139,0.015151515151515152
/products/lash-refresh-collection-spring-2025,Paid Search,66,46,4,30.863636363636363,1,118.15,0.015151515151515152
/products/ultimate-brow-collection-revitabrow®-advanced-summer-collection,Paid Search,66,48,10,17.484848484848484,0,0,0
/products/double-ended-volume-set,Organic Social,65,59,53,28.523076923076925,1,218,0.015384615384615385
/products/double-ended-volume-set,Paid Social,65,62,54,29.076923076923077,6,332.5,0.09230769230769231
/products/revitalashÂ®-advanced-eyelash-conditioner-serum,Referral,65,64,63,30.846153846153847,0,0,0
/products/thickening-shampoo,Unassigned,63,49,46,41.63492063492063,1,86.4,0.015873015873015872
/pages/faq,Referral,62,48,33,48.79032258064516,0,0,0
/pages/unauthorised-dealers,Organic Search,62,51,33,39.693548387096776,0,0,0
/products/lash-brow-masque,Direct,62,61,60,27.919354838709676,0,0,0
/collections/all-revitalash-cosmetics-products,Referral,61,28,7,13.180327868852459,1,109,0.01639344262295082
/pages/store-locator-revitalash-cosmetics,Organic Search,61,51,41,59.21311475409836,2,166.331286,0.03278688524590164
/products/revitabrow®-advanced-eyebrow-serum,Cross-network,61,55,50,59.278688524590166,8,652.8,0.13114754098360656
